Prénom;Nom;Date de décès;Âge;Année de naissance;Catégorie;Fichier image
Gérard;Blain;17/12/2000;70;1930;Acteurs;gerard-blain.jpg
Jacques;Goddet;15/12/2000;95;1905;Journalistes;jacques-goddet.jpg
Danielle;Volle;24/11/2000;63;1937;Acteurs;danielle-volle.jpg
Christian;Marquand;22/11/2000;73;1927;Acteurs;christian-marquand.jpg
Franck;Pourcel;12/11/2000;87;1913;Chefs d'orchestre;franck-pourcel.jpg
Jacques;Chaban-Delmas;10/11/2000;85;1915;Responsables politiques;jacques-chaban-delmas.jpg
Roger;Peyrefitte;05/11/2000;93;1907;Écrivains;roger-peyrefitte.jpg
Georges;Poujouly;28/10/2000;60;1940;Acteurs;georges-poujouly.jpg
Gilbert;Carpentier;18/09/2000;80;1920;Producteurs;gilbert-carpentier.jpg
Odette;Joyeux;26/08/2000;85;1915;Acteurs;odette-joyeux.jpg
Claude;Sautet;22/07/2000;76;1924;Réalisateurs;claude-sautet.jpg
Pascale;Audret;17/07/2000;64;1936;Acteurs;pascale-audret.jpg
Henri;Gault;09/07/2000;70;1930;Journalistes;henri-gault.jpg
Frédéric;Dard;06/06/2000;78;1922;Écrivains;frederic-dard.jpg
C.;Jérôme;14/03/2000;53;1947;Chanteurs;c-jerome.jpg
Roger;Vadim;11/02/2000;72;1928;Réalisateurs;roger-vadim.jpg
Claude;Autant-Lara;05/02/2000;98;1902;Réalisateurs;claude-autant-lara.jpg
Alain;Poiré;14/01/2000;82;1918;Producteurs;alain-poire.jpg
Jacques;Mayol;22/12/2001;74;1927;Sportifs;jacques-mayol.jpg
Gilbert;Bécaud;18/12/2001;74;1927;Chanteurs;gilbert-becaud.jpg
Frédéric;de Pasquale;17/12/2001;70;1931;Acteurs;frederic-de-pasquale.jpg
Jean;Richard;12/12/2001;80;1921;Acteurs;jean-richard.jpg
Édouard;Duleu;26/10/2001;92;1909;Musiciens;edouard-duleu.jpg
Philippe;Léotard;25/08/2001;60;1941;Acteurs;philippe-leotard.jpg
;Morris;16/07/2001;77;1924;Dessinateurs;morris.jpg
Corinne;Calvet;23/06/2001;76;1925;Acteurs;corinne-calvet.jpg
Carole;Fredericks;07/06/2001;49;1952;Chanteurs;carole-fredericks.jpg
Robert;Enrico;23/02/2001;69;1932;Réalisateurs;robert-enrico.jpg
Charles;Trenet;19/02/2001;87;1914;Chanteurs;charles-trenet.jpg
Guy;Grosso;14/02/2001;67;1934;Acteurs;guy-grosso.jpg
Gilbert;Trigano;04/02/2001;80;1921;Personnalités d’affaires;gilbert-trigano.jpg
Jean-Pierre;Aumont;30/01/2001;90;1911;Acteurs;jean-pierre-aumont.jpg
Guy;Tréjan;25/01/2001;79;1922;Acteurs;guy-trejan.jpg
Jacques;Marin;10/01/2001;81;1920;Acteurs;jacques-marin.jpg
Madeleine;Barbulée;01/01/2001;90;1911;Acteurs;madeleine-barbulee.jpg
Patrick;Bourrat;22/12/2002;50;1952;Journalistes;patrick-bourrat.jpg
Daniel;Gélin;29/11/2002;81;1921;Acteurs;daniel-gelin.jpg
Maritie;Carpentier;23/11/2002;80;1922;Producteurs;maritie-carpentier.jpg
Bernard;Fresson;20/10/2002;71;1931;Acteurs;bernard-fresson.jpg
Jean;Saudray;31/08/2002;74;1928;Acteurs;jean-saudray.jpg
Lionel;Cassan;18/08/2002;46;1956;Animateurs;lionel-cassan.jpg
François;Périer;28/06/2002;82;1920;Acteurs;francois-perier.jpg
Yves;Robert;10/05/2002;81;1921;Acteurs;yves-robert.jpg
Francis;Lemarque;20/04/2002;84;1918;Chanteurs;francis-lemarque.jpg
Geneviève;de Gaulle-Anthonioz;15/02/2002;81;1921;Divers;genevieve-de-gaulle-anthonioz.jpg
Michel;Poniatowski;15/02/2002;79;1923;Responsables politiques;michel-poniatowski.jpg
Raymond;Gérôme;03/02/2002;81;1921;Acteurs;raymond-gerome.jpg
Pierre;Bourdieu;23/01/2002;71;1931;Scientifiques;pierre-bourdieu.jpg
Henri;Verneuil;11/01/2002;81;1921;Réalisateurs;henri-verneuil.jpg
Alan;Bates;27/12/2003;69;1934;Acteurs;alan-bates.jpg
Jacques;François;25/11/2003;83;1920;Acteurs;jacques-francois.jpg
Martine;Chardon;24/11/2003;56;1947;Animateurs;martine-chardon.jpg
Loris;Azzaro;20/11/2003;70;1933;Créateurs de mode;loris-azzaro.jpg
Jean;Panzani;18/10/2003;92;1911;Personnalités d’affaires;jean-panzani.jpg
Léon;Schwartzenberg;14/10/2003;79;1924;Médecins;leon-schwartzenberg.jpg
Michel;Constantin;28/08/2003;79;1924;Acteurs;michel-constantin.jpg
Pierre;Poujade;27/08/2003;82;1921;Responsables politiques;pierre-poujade.jpg
Jacques;Deray;09/08/2003;74;1929;Réalisateurs;jacques-deray.jpg
Marie;Trintignant;01/08/2003;41;1962;Acteurs;marie-trintignant.jpg
André;Claveau;04/07/2003;91;1912;Chanteurs;andre-claveau.jpg
Hume;Cronyn;15/06/2003;91;1912;Acteurs;hume-cronyn.jpg
Guy;Lux;13/06/2003;83;1920;Animateurs;guy-lux.jpg
Michel;Peyrelon;04/06/2003;66;1937;Acteurs;michel-peyrelon.jpg
Jean;Yanne;23/05/2003;69;1934;Acteurs;jean-yanne.jpg
Jean;Drucker;18/04/2003;61;1942;Personnalités d’affaires;jean-drucker.jpg
Daniel;Ceccaldi;26/03/2003;75;1928;Acteurs;daniel-ceccaldi.jpg
Jean-Luc;Lagardère;14/03/2003;75;1928;Personnalités d’affaires;jean-luc-lagardere.jpg
Bernard;Loiseau;24/02/2003;52;1951;Cuisiniers;bernard-loiseau.jpg
Daniel;Toscan du Plantier;11/02/2003;61;1942;Producteurs;daniel-toscan-du-plantier.jpg
Henri;Krasucki;24/01/2003;78;1925;Syndicalistes;henri-krasucki.jpg
Françoise;Giroud;19/01/2003;86;1917;Journalistes;francoise-giroud.jpg
Maurice;Pialat;11/01/2003;77;1926;Réalisateurs;maurice-pialat.jpg
Eddy;Marnay;03/01/2003;82;1921;Chanteurs;eddy-marnay.jpg
Robert;Dhéry;03/12/2004;83;1921;Acteurs;robert-dhery.jpg
Philippe;de Broca;26/11/2004;71;1933;Réalisateurs;philippe-de-broca.jpg
Michel;Colombier;14/11/2004;65;1939;Compositeurs;michel-colombier.jpg
Jacques;Dynam;11/11/2004;80;1924;Acteurs;jacques-dynam.jpg
Jacques;Derrida;09/10/2004;74;1930;Philosophes;jacques-derrida.jpg
Françoise;Sagan;24/09/2004;69;1935;Écrivains;francoise-sagan.jpg
Raymond;Loyer;03/09/2004;87;1917;Acteurs;raymond-loyer.jpg
Didier;Bienaimé;07/08/2004;43;1961;Acteurs;didier-bienaime.jpg
Henri;Cartier-Bresson;03/08/2004;95;1909;Photographes;henri-cartier-bresson.jpg
Madeleine;Robinson;01/08/2004;86;1918;Acteurs;madeleine-robinson.jpg
Sacha;Distel;22/07/2004;71;1933;Chanteurs;sacha-distel.jpg
Serge;Reggiani;22/07/2004;82;1922;Acteurs;serge-reggiani.jpg
Renée;Saint-Cyr;11/07/2004;99;1905;Acteurs;renee-saint-cyr.jpg
Jean;Lefebvre;09/07/2004;84;1920;Acteurs;jean-lefebvre.jpg
Georges;de Caunes;28/06/2004;85;1919;Journalistes;georges-de-caunes.jpg
Odette;Laure;10/06/2004;87;1917;Acteurs;odette-laure.jpg
Étienne;Roda-Gil;31/05/2004;62;1942;Chanteurs;etienne-roda-gil.jpg
Jacques;Rouxel;25/04/2004;73;1931;Dessinateurs;jacques-rouxel.jpg
Philippe;Lemaire;15/03/2004;77;1927;Acteurs;philippe-lemaire.jpg
Claude;Nougaro;04/03/2004;74;1930;Chanteurs;claude-nougaro.jpg
Alex;Métayer;21/02/2004;73;1931;Humoristes;alex-metayer.jpg
Marco;Pantani;14/02/2004;34;1970;Sportifs;marco-pantani.jpg
Ticky;Holgado;22/01/2004;59;1945;Acteurs;ticky-holgado.jpg
Vincent;Schiavelli;26/12/2005;57;1948;Acteurs;vincent-schiavelli.jpg
Jacques;Dufilho;28/08/2005;91;1914;Acteurs;jacques-dufilho.jpg
Robert;Moog;21/08/2005;71;1934;Ingénieurs;robert-moog.jpg
Henri;Génès;18/08/2005;86;1919;Acteurs;henri-genes.jpg
Barbara;Bel Geddes;08/08/2005;82;1923;Acteurs;barbara-bel-geddes.jpg
Paul;Le Person;08/08/2005;74;1931;Acteurs;paul-le-person.jpg
Alain;Bombard;19/07/2005;80;1925;Médecins;alain-bombard.jpg
Geraldine;Fitzgerald;17/07/2005;91;1914;Acteurs;geraldine-fitzgerald.jpg
Maurice;Baquet;08/07/2005;94;1911;Musiciens;maurice-baquet.jpg
Luther;Vandross;01/07/2005;54;1951;Chanteurs;luther-vandross.jpg
Renée;Faure;02/05/2005;86;1919;Acteurs;renee-faure.jpg
Maria;Schell;26/04/2005;79;1926;Acteurs;maria-schell.jpg
Pierre;Bachelet;15/02/2005;60;1945;Chanteurs;pierre-bachelet.jpg
Mary;Jackson;11/02/2005;83;1922;Scientifiques;mary-jackson.webp
Henri;Poirier;08/02/2005;72;1933;Acteurs;henri-poirier.webp
Jacques;Villeret;28/01/2005;53;1952;Acteurs;jacques-villeret.jpg
Jacqueline;Joubert;09/01/2005;83;1922;Animateurs;jacqueline-joubert.jpg
Pierre;Delanoë;27/12/2006;88;1918;Chanteurs;pierre-delanoe.jpg
Gerald;Ford;26/12/2006;93;1913;Responsables politiques;gerald-ford.jpg
Allen;Carr;29/11/2006;72;1934;Écrivains;allen-carr.jpg
Philippe;Noiret;23/11/2006;76;1930;Acteurs;philippe-noiret.jpg
Anicée;Alvina;10/11/2006;53;1953;Acteurs;anicee-alvina.jpg
Jean-Jacques;Servan-Schreiber;07/11/2006;82;1924;Journalistes;jean-jacques-servan-schreiber.jpg
Paul;Mauriat;03/11/2006;81;1925;Compositeurs;paul-mauriat.jpg
Tina;Aumont;28/10/2006;60;1946;Acteurs;tina-aumont.jpg
Jacqueline;Doyen;03/09/2006;76;1930;Acteurs;jacqueline-doyen.jpg
Bernard;Rapp;17/08/2006;61;1945;Journalistes;bernard-rapp.jpg
Alfredo;Stroessner;16/08/2006;93;1913;Responsables politiques;alfredo-stroessner.jpg
